Data	Último	Abertura	Máxima	Mínima	Vol.	Var%
10.03.2020	0,21171	0,20961	0,21558	0,20546	3,08B	1,00%
09.03.2020	0,20961	0,20384	0,2113	0,19851	4,53B	2,85%
08.03.2020	0,2038	0,23622	0,23622	0,20123	4,02B	-13,73%
07.03.2020	0,23624	0,24476	0,24489	0,23516	2,18B	-3,48%
06.03.2020	0,24475	0,23917	0,24616	0,23825	2,39B	2,34%
05.03.2020	0,23917	0,23465	0,24309	0,23458	2,15B	1,92%
04.03.2020	0,23466	0,23423	0,23816	0,23054	2,01B	0,18%
03.03.2020	0,23424	0,2395	0,2396	0,22979	2,09B	-2,20%
02.03.2020	0,2395	0,22732	0,24139	0,22605	2,03B	5,35%
01.03.2020	0,22734	0,22901	0,23582	0,22445	1,79B	-0,73%
29.02.2020	0,22902	0,23663	0,24212	0,22898	1,87B	-3,22%
28.02.2020	0,23665	0,23812	0,24375	0,22889	2,64B	-0,59%
